id,row,Symbol,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded
372,372,PKI,PerkinElmer,reports,Health Care,Health Care Equipment,"Waltham, Massachusetts",31/05/1985,31791.0,1937
373,373,PFE,Pfizer,reports,Health Care,Pharmaceuticals,"New York City, New York",04/03/1957,78003.0,1849
374,374,PM,Philip Morris International,reports,Consumer Staples,Tobacco,"New York City, New York",31/03/2008,1413329.0,2008 (1847)
375,375,PSX,Phillips 66,reports,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",01/05/2012,1534701.0,2012 (1917)
376,376,PNW,Pinnacle West,reports,Utilities,Multi-Utilities,"Phoenix, Arizona",01/01/1900,764622.0,1985
377,377,PXD,Pioneer Natural Resources,reports,Energy,Oil & Gas Exploration & Production,"Irving, Texas",24/09/2008,1038357.0,1997
378,378,PNC,PNC Financial Services,reports,Financials,Regional Banks,"Pittsburgh, Pennsylvania",30/04/1988,713676.0,1845
379,379,POOL,Pool Corporation,reports,Consumer Discretionary,Distributors,"Covington, Louisiana",07/10/2020,945841.0,1993
380,380,PPG,PPG Industries,reports,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",04/03/1957,79879.0,1883
381,381,PPL,PPL,reports,Utilities,Electric Utilities,"Allentown, Pennsylvania",01/01/1900,922224.0,1920
382,382,PFG,Principal,reports,Financials,Life & Health Insurance,"Des Moines, Iowa",22/07/2002,1126328.0,1879
383,383,PG,Procter & Gamble,reports,Consumer Staples,Personal Products,"Cincinnati, Ohio",04/03/1957,80424.0,1837
384,384,PGR,Progressive,reports,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",04/08/1997,80661.0,1937
385,385,PLD,Prologis,reports,Real Estate,Industrial REITs,"San Francisco, California",17/07/2003,1045609.0,1983
386,386,PRU,Prudential,reports,Financials,Life & Health Insurance,"Newark, New Jersey",22/07/2002,1137774.0,1875
387,387,PEG,PSEG,reports,Utilities,Electric Utilities,"Newark, New Jersey",04/03/1957,788784.0,1903
388,388,PTC,PTC,reports,Information Technology,Application Software,"Boston, Massachusetts",20/04/2021,857005.0,1985
389,389,PSA,Public Storage,reports,Real Estate,Specialized REITs,"Glendale, California",19/08/2005,1393311.0,1972
390,390,PHM,PulteGroup,reports,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",30/04/1984,822416.0,1956
391,391,PVH,PVH,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",15/02/2013,78239.0,1881
392,392,QRVO,Qorvo,reports,Information Technology,Semiconductors,"Greensboro, North Carolina",11/06/2015,1604778.0,2015
393,393,PWR,Quanta,reports,Industrials,Construction & Engineering,"Houston, Texas",01/07/2009,1050915.0,1997
394,394,QCOM,Qualcomm,reports,Information Technology,Semiconductors,"San Diego, California",01/01/1900,804328.0,1985
395,395,DGX,Quest Diagnostics,reports,Health Care,Health Care Services,"Secaucus, New Jersey",12/12/2002,1022079.0,1967
396,396,RL,Ralph Lauren,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",02/02/2007,1037038.0,1967
397,397,RJF,Raymond James,reports,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",20/03/2017,720005.0,1962
398,398,RTX,Raytheon Technologies,reports,Industrials,Aerospace & Defense,"Waltham, Massachusetts",01/01/1900,101829.0,1922
399,399,O,Realty Income,reports,Real Estate,Retail REITs,"San Diego, California",07/04/2015,726728.0,1969
400,400,REG,Regency Centers,reports,Real Estate,Retail REITs,"Jacksonville, Florida",02/03/2017,910606.0,1963
401,401,REGN,Regeneron,reports,Health Care,Biotechnology,"Tarrytown, New York",01/05/2013,872589.0,1988
402,402,RF,Regions,reports,Financials,Regional Banks,"Birmingham, Alabama",28/08/1998,1281761.0,1971
403,403,RSG,Republic Services,reports,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",05/12/2008,1060391.0,1998 (1981)
404,404,RMD,ResMed,reports,Health Care,Health Care Equipment,"San Diego, California",26/07/2017,943819.0,1989
405,405,RHI,Robert Half,reports,Industrials,Human Resource & Employment Services,"Menlo Park, California",05/12/2000,315213.0,1948
406,406,ROK,Rockwell Automation,reports,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",01/01/1900,1024478.0,1903
407,407,ROL,Rollins,reports,Industrials,Environmental & Facilities Services,"Atlanta, Georgia",01/10/2018,84839.0,1948
408,408,ROP,Roper,reports,Industrials,Industrial Conglomerates,"Sarasota, Florida",23/12/2009,882835.0,1981
409,409,ROST,Ross,reports,Consumer Discretionary,Apparel Retail,"Dublin, California",21/12/2009,745732.0,1982
410,410,RCL,Royal Caribbean Group,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",05/12/2014,884887.0,1997
411,411,SPGI,S&P Global,reports,Financials,Financial Exchanges & Data,"New York City, New York",01/01/1900,64040.0,1917
412,412,CRM,Salesforce,reports,Information Technology,Application Software,"San Francisco, California",15/09/2008,1108524.0,1999
413,413,SBAC,SBA Communications,reports,Real Estate,Specialized REITs,"Boca Raton, Florida",01/09/2017,1034054.0,1989
414,414,SLB,Schlumberger,reports,Energy,Oil & Gas Equipment & Services,"Curaçao, Kingdom of the Netherlands",31/03/1965,87347.0,1926
415,415,STX,Seagate,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",02/07/2012,1137789.0,1979
416,416,SEE,Sealed Air,reports,Materials,Paper Packaging,"Charlotte, North Carolina",04/03/1957,1012100.0,1960
417,417,SRE,Sempra Energy,reports,Utilities,Multi-Utilities,"San Diego, California",01/01/1900,1032208.0,1998
418,418,NOW,ServiceNow,reports,Information Technology,Systems Software,"Santa Clara, California",21/11/2019,1373715.0,2003
419,419,SHW,Sherwin-Williams,reports,Materials,Specialty Chemicals,"Cleveland, Ohio",30/06/1964,89800.0,1866
420,420,SBNY,Signature Bank,reports,Financials,Regional Banks,"New York City, New York",20/12/2021,1288784.0,2001
421,421,SPG,Simon,reports,Real Estate,Retail REITs,"Indianapolis, Indiana",26/06/2002,1063761.0,2003
422,422,SWKS,Skyworks,reports,Information Technology,Semiconductors,"Woburn, Massachusetts",12/03/2015,4127.0,2002
423,423,SJM,Smucker,reports,Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",06/11/2008,91419.0,1897
424,424,SNA,Snap-on,reports,Industrials,Industrial Machinery,"Kenosha, Wisconsin",30/09/1982,91440.0,1920
